description,name,industry,headquarters,phoneNumber,contact,ein,401kPlan
,Walgreens,Telecom Services,"102 WILMOT ROAD, DEERFIELD, IL, 60015",800-825-5467,CHRIS DYSINGER,36-1924025,"{""name"":""WALGREEN PROFIT-SHARING RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,FedEx,Integrated Freight & Logistics,"3630 HACKS CROSS ROAD, MEMPHIS, TN, 38125",901-434-7013,JEFFREY MIZE,62-1721435,"{""name"":""FEDEX CORPORATION RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,Bank of America,Banking,"3400 PAWTUCKET AVE., RIVERSIDE, RI, 02915-5298",800-556-6044,SUSAN E. KELLY,56-0906609,"{""name"":""THE BANK OF AMERICA 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://www.benefits.ml.com/login/login"",""phoneNumber"":""1-866-820-1492"",""faxNumber"":""866-994-7807"",""hoursOfOperation"":""Monday - Friday: 9am - 9pm EST, No weekend hours"",""address"":""P.O. Box 29002, Hot Springs, AR, 71903-9002""}"
,General Electric,Special Industrial Machinery,"PO BOX 5000, SCHENECTADY, NY, 12301-5000",800-432-3450,MICHAEL MILLOTT,14-0689340,"{""name"":""GE RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Kroger,Grocery Stores,"1014 VINE ST, CINCINNATI, OH, 45202-1141",513-762-4131,THERESA MONTI,31-0345740,"{""name"":""THE KROGER CO. SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.benefits.ml.com/login/login"",""phoneNumber"":""1-866-820-1492"",""faxNumber"":""866-994-7807"",""hoursOfOperation"":""Monday - Friday: 9am - 9pm EST, No weekend hours"",""address"":""P.O. Box 29002, Hot Springs, AR, 71903-9002""}"
,Compass Group Usa,,"2400 YORKMONT ROAD, CHARLOTTE, NC, 28217",704-328-4082,FRANK SAMRA,56-1874931,"{""name"":""COMPASS GROUP RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Albertsons,Grocery Stores,"250 E. PARKCENTER BLVD., BOISE, ID, 83706",925-226-5000,BRIAN DOOLEY,47-5579477,"{""name"":""ALBERTSONS COMPANIES 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Boeing,Aerospace & Defense,"100 N. Riverside Plaza Chicago, IL 60606-1596",866-473-2016,Ingrid Williams,91-0425694,"{""name"":""The Boeing Company Voluntary Investment Plan"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,United Health,Healthcare,"9900 BREN ROAD EAST, MINNETONKA, MN, 55343",952-936-1300,MARC SAVASTA,41-1321939,"{""name"":""UNITEDHEALTH GROUP 401(K) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,CVS Health,Healthcare,,,CANDACE JODICE,50-494040,"{""name"":""CVS HEALTH FUTURE FUND 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,Trinet,Staffing & Employment Services,"9000 TOWN CENTER PARKWAY, BRADENTON, FL, 34202",800-243-8489,SAMANTHA WELLINGTON,48-1304650,"{""name"":""TRINET 401K PLAN"",""provider"":"""",""websiteURL"":""https://www.transamerica.com/portal/home/"",""phoneNumber"":""800-755-5801"",""faxNumber"":""833-200-9987"",""hoursOfOperation"":""Monday - Friday: 8am - 9pm EST, No weekend hours"",""address"":""4333 Edgewood Road NE, Cedar Rapids, IA""}"
,Costco,Discount Stores,"999 LAKE DR, ISSAQUAH, WA, 98027-8990",425-313-8100,JOE MOORE,91-1223280,"{""name"":""COSTCO 401K RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://www.troweprice.com/usis/login/enablement?pdurl=/rws/account/participant/home/overview.otc"",""phoneNumber"":""1-800-922-9945"",""faxNumber"":""410-581-5176"",""hoursOfOperation"":""Monday - Friday: 7am - 10pm EST, Automated voice response system available 24/7"",""address"":""P.O. Box 17215, Baltimore, MD, 21297""}"
,Publix Super Markets,Grocery Stores,"3300 PUBLIX CORPORATE PARKWAY, LAKELAND, FL, 33811",863-688-1188,LINDA KANE,59-0324412,"{""name"":""PUBLIX SUPER MARKETS, INC. 401(K) SMART PLAN"",""provider"":"""",""websiteURL"":""https://my.voya.com/voyassoui/index.html?target=https%3A%2F%2Fmy.voya.com%2Fmyvoya%2Flogon#/login"",""phoneNumber"":""1-877-269-8758"",""faxNumber"":""800-643-8143"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm EST"",""address"":""P.O. Box 990063, Hartford, CT, 06199""}"
,IBM,Information Technology Services,"NEW ORCHARD ROAD, ARMONK, NY, 10504",800-796-9876,ALISON YARA,13-0871985,"{""name"":""IBM 401 (K) PLUS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Macys,Department Stores,"145 PROGRESS PLACE, SPRINGDALE, OH, 45246",513-579-7000,MATTHEW S. SCHROEDER,13-3324058,"{""name"":""MACYS INC 401(K) RETIREMENT INVESTMENT PLAN"",""provider"":"""",""websiteURL"":""https://www.benefits.ml.com/login/login"",""phoneNumber"":""1-866-820-1492"",""faxNumber"":""866-994-7807"",""hoursOfOperation"":""Monday - Friday: 9am - 9pm EST, No weekend hours"",""address"":""P.O. Box 29002, Hot Springs, AR, 71903-9002""}"
,Darden Restaurants,Restaurants,"1000 DARDEN CENTER DRIVE, ORLANDO, FL, 32837",407-245-4000,THAMARA MAHAFFEY,59-3305930,"{""name"":""DARDEN SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://login.principal.com/login"",""phoneNumber"":""800-547-7754"",""faxNumber"":""866-704-3481"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST, No weekend hours"",""address"":""PO Box 9394, Des Moines, IA, 50306-9394""}"
,Tenet Healthcare,Healthcare,"14201 DALLAS PARKWAY, DALLAS, TX, 75254",469-893-6538,KELLY POOL,95-2557091,"{""name"":""TENET HEALTHCARE CORPORATION 401(K) RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Verizon,Telecom Services,"ONE VERIZON WAY, BASKING RIDGE, NJ, 07920",908-559-3342,KEVIN CAMMARATA,23-2259884,"{""name"":""VERIZON SAVINGS PLAN FOR MANAGEMENT EMPLOYEES"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Marriott International,Lodging,"7750 WISCONSIN AVENUE, BETHESDA, MD, 20814",888-884-6947,TRACEY BALLOW,52-2055918,"{""name"":""MARRIOTT RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,Pepsico,Beverages - Non-Alcoholic,"700 ANDERSON HILL ROAD, PURCHASE, NY, 10577-1444",914-253-2000,MEGAN BRODERICK,13-1584302,"{""name"":""THE PEPSICO SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Teamsters,,"401 LIBERTY AVE., SUITE 1200, PITTSBURGH, PA, 15222-1004",412-471-2885,FRED ZUCKERMAN,52-1967784,"{""name"":""TEAMSTERS-NATIONAL 401K SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.prudential.com/login/"",""phoneNumber"":""1-800-621-1089"",""faxNumber"":""866-439-8602"",""hoursOfOperation"":""Monday - Friday: 8am - 6pm EST, Automated voice response system available 24/7"",""address"":""30 Scranton Office Park, Scranton, PA, 18507""}"
,Dollar General,Discount Stores,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37070",615-855-4000,BARBARA SPRINGER,61-0502302,"{""name"":""DOLLAR GENERAL CORP 401(K) SAVINGS AND RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://my.voya.com/voyassoui/index.html?target=https%3A%2F%2Fmy.voya.com%2Fmyvoya%2Flogon#/login"",""phoneNumber"":""1-877-269-8758"",""faxNumber"":""800-643-8143"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm EST"",""address"":""P.O. Box 990063, Hartford, CT, 06199""}"
,Kaiser Foundation,,"ONE KAISER PLAZA, 20B, OAKLAND, CA, 94612",510-271-5940,MARYANN KHINDA-LOMBARDO,94-1340523,"{""name"":""KAISER PERMANENTE 401(K) RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,Sodexo,Specialty Business Services,"9801 WASHINGTONIAN BOULEVARD, GAITHERSBURG, MD, 20878",301-987-4480,PATRICK CARSON,52-0936594,"{""name"":""SODEXO 401 (K) EMPLOYEES RETIREMENT SAVINGS PLAN AND TRUST"",""provider"":"""",""websiteURL"":""https://my.voya.com/voyassoui/index.html?target=https%3A%2F%2Fmy.voya.com%2Fmyvoya%2Flogon#/login"",""phoneNumber"":""1-877-269-8758"",""faxNumber"":""800-643-8143"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm EST"",""address"":""P.O. Box 990063, Hartford, CT, 06199""}"
,UPS,Integrated Freight & Logistics,"55 GLENLAKE PARKWAY NE, ATLANTA, GA, 30328",404-828-8661,B.J. DORFMAN,95-1732075,"{""name"":""UPS 401 (K) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.prudential.com/login/"",""phoneNumber"":""1-800-621-1089"",""faxNumber"":""866-439-8602"",""hoursOfOperation"":""Monday - Friday: 8am - 6pm EST, Automated voice response system available 24/7"",""address"":""30 Scranton Office Park, Scranton, PA, 18507""}"
,Best Buy,Specialty Retail,"7601 PENN AVENUE SOUTH, RICHFIELD, MN, 55423-3645",612-291-1000,CHARLIE MONTREUIL,41-0907483,"{""name"":""BEST BUY RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,Comcast,Telecom Services,"1701 JFK BOULEVARD, PHILADELPHIA, PA, 19103",215-286-1700,JOSEPH PITRA,27-0000798,"{""name"":""COMCAST CORPORATION RETIREMENT-INVESTMENT PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Northrop Grumman,Aerospace & Defense,"2980 FAIRVIEW PARK DR, FALLS CHURCH, VA, 22042",800-894-4194,JEFF SCHMIDT,80-0640649,"{""name"":""NORTHROP GRUMMAN SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Universal Services Of America,,"1551 N. TUSTIN AVENUE, SUITE 650, SANTA ANA, CA, 92705",484-351-1818,DREW VOLLERO,27-1562945,"{""name"":""ALLIED UNIVERSAL 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://participant.empower-retirement.com/participant/#/register/"",""phoneNumber"":""855-756-4738"",""faxNumber"":""303-737-3414"",""hoursOfOperation"":""Monday - Friday: 9am - 8pm EST, Saturday: 9am - 5:30pm ET for eligible plans only"",""address"":""8515 E. Orchard Road, Greenwood Village, CO, 80111""}"
,Apple,Consumer Electronics,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",408-974-3833,GRACE MUNSON,94-2404110,"{""name"":""APPLE 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://participant.empower-retirement.com/participant/#/register/"",""phoneNumber"":""855-756-4738"",""faxNumber"":""303-737-3414"",""hoursOfOperation"":""Monday - Friday: 9am - 8pm EST, Saturday: 9am - 5:30pm ET for eligible plans only"",""address"":""8515 E. Orchard Road, Greenwood Village, CO, 80111""}"
,Dollar Tree,Discount Stores,"500 VOLVO PKWY, CHESAPEAKE, VA, 23320",757-321-5000,STEVE TERRY,26-2018846,"{""name"":""DOLLAR TREE RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://participant.empower-retirement.com/participant/#/register/"",""phoneNumber"":""855-756-4738"",""faxNumber"":""303-737-3414"",""hoursOfOperation"":""Monday - Friday: 9am - 8pm EST, Saturday: 9am - 5:30pm ET for eligible plans only"",""address"":""8515 E. Orchard Road, Greenwood Village, CO, 80111""}"
,Community Health,Medical Care Facilities,"4000 MERIDIAN BLVD, FRANKLIN, TN, 37067-6325",615-465-7000,JAMES HAYES,76-0137985,"{""name"":""CHS/COMMUNITY HEALTH SYSTEMS, INC. RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://login.principal.com/login"",""phoneNumber"":""800-547-7754"",""faxNumber"":""866-704-3481"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST, No weekend hours"",""address"":""PO Box 9394, Des Moines, IA, 50306-9394""}"
,Tyson Foods,Farm Products,"2200 W DON TYSON PKWY, SPRINGDALE, AR, 72762-6901",479-290-8670,CONNIE DOWNUM,71-0225165,"{""name"":""TYSON FOODS, INC. RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.yourplanaccess.net/nwps/"",""phoneNumber"":""888-700-0808"",""faxNumber"":""Each plan has a company-specific fax number found through the NWPS 401(k) login link"",""hoursOfOperation"":""Unknown""}"
,Microsoft,Software,"ONE MICROSOFT WAY, REDMOND, WA, 98052-6399",425-882-8080,FRED THIELE,91-1144442,"{""name"":""MICROSOFT CORPORATION SAVINGS PLUS 401K PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Citigroup,Banking,"P.O. BOX 1407, LINCOLNSHIRE, IL, 60069-1407",800-881-3938,LORI SZERENCSY,52-1568099,"{""name"":""CITI RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,Catholic Health Initiatives,,"3900 OLYMPIC BOULEVARD, SUITE 300, ERLANGER, KY, 41018-1099",859-594-3267,TROY LINDON,47-0617373,"{""name"":""CATHOLIC HEALTH INITIATIVES 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,JC Penney,,"6501 LEGACY DRIVE, PLANO, TX, 75024-3698",972-431-1000,STEVEN STARK,13-5583779,"{""name"":""J. C. PENNEY CORPORATION, INC. SAVINGS PROFIT- SHARING & STOCK OWNERSHIP"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,TJX,Apparel Retail,,,DAVID L. AVERILL,42-207613,"{""name"":""THE TJX COMPANIES, INC. GENERAL SAVINGS/PROFIT SHARING PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,Nordstrom,Department Stores,"1700 7TH AVE, SUITE 900, SEATTLE, WA, 98101",855-667-3947,KATHY BELL,91-0515058,"{""name"":""NORDSTROM 401K PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,Crawford Group,Department Stores,"600 CORPORATE PARK DRIVE, SAINT LOUIS, MO, 63105-4211",314-512-5000,RICK SHORT,43-1233684,"{""name"":""ENTERPRISE HOLDINGS RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Randstad North America,Lessors of Residential Buildings and Dwellings,"ONE OVERTON PARK 3625 CUMBERLAND BOULEVARD, SUITE 600, ATLANTA, GA 30339",770-937-4683,JENNIFER SHIPMAN,58-2426357,"{""name"":""RANDSTAD NORTH AMERICA 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://login.millimanonline.com/"",""phoneNumber"":""866-767-1212"",""faxNumber"":""Each plan has a company-specific fax number found through the Milliman 401(k) login link"",""hoursOfOperation"":""Unknown""}"
,"Whole Foods Market, Inc.",Supermarkets and Other Grocery Retailers (except Convenience Retailers),"550 BOWIE STREET, AUSTIN, TX 787034644",512-477-5566,BRIAN O'CONNELL,74-1989366,"{""name"":""WHOLE FOODS MARKET GROWING YOUR FUTURE 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,American Airlines,Airline,"MAIL DROP 8A209 1 SKYVIEW DR., FORT WORTH, TX 76155",800-447-2000,PATRICK O'KEEFFE,13-1502798,"{""name"":""AMERICAN AIRLINES, INC. 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Sears Holdings Corporation,,"3333 BEVERLY ROAD DEPARTMENT 707BEN, A4-184A, HOFFMAN ESTATES, IL 60179",847-286-2500,LUKE J. VALENTINO,20-1920798,"{""name"":""SEARS HOLDINGS SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,"Ross Stores, Inc.",,"5130 HACIENDA DRIVE, DUBLIN, CA 94568",925-965-4400,BRIAN FROST,94-1390387,"{""name"":""ROSS STORES, INC. 401(K) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://benefitconnect.wf.ehr.com/ESS/Shared/Account/LogOn?ReturnUrl=%2fESS"",""phoneNumber"":""1-877-479-3557"",""faxNumber"":""1-844-879-0200"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm EST"",""address"":""1525 West W. T. Harris Blvd., Charlotte, NC, 28262""}"
